I,token_tome,token_chv_esq,token_chv_dir,token_ingredients,token_id,token_endline,token_atr,token_for ,token_par_esq,token_par_dir,token_summon,token_echo,token_if,token_while,token_int,token_float,token_string,token_col_esq,token_col_dir,token_and,token_or,token_not,token_le,token_gr,token_eq,token_add,token_sub,token_mul,token_div,token_type_int,token_type_float,token_type_string,gtoken_end,BAR,gtoken_program,gtoken_cmd_init,gtoken_declare_sq,gtoken_cmd_sq,gtoken_operation,gtoken_assign_sq,gtoken_for_sq,gtoken_summon_sq,gtoken_echo_sq,gtoken_control,gtoken_control_struc,gtoken_block,gtoken_expression,gtoken_logic,gtoken_bool_op,gtoken_relacional,gtoken_relacional_op,gtoken_expr,gtoken_term,gtoken_factor,gtoken_id,gtoken_op_logic,gtoken_op_rel,gtoken_op_art_pr,gtoken_op_art_sc,gtoken_value,gtoken_type,BAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,R21,,,,R21,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,R23,,,,R23,,,,,,,,,,,,,S66,S67,S68,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,106,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,R27,,,,R27,,,,,,,,,,R27,R27,,R27,R27,R27,S59,S60,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,61,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,R26,,,,R26,,,,,,,,,,R26,R26,,R26,R26,R26,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,S41,,,,,,S50,S51,S52,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,107,40,108,49,45,53,,,,,46,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,R45,,,,R45,,,,,,R45,R45,R45,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,R33,,,,R33,,,,,,,,,,R33,R33,,R33,R33,R33,R33,R33,R33,R33,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,R46,,,,R46,,,,,,R46,R46,R46,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,R32,,,,R32,,,,,,,,,,R32,R32,,R32,R32,R32,R32,R32,R32,R32,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,R34,,,,R34,,,,,,,,,,R34,R34,,R34,R34,R34,R34,R34,R34,R34,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
